BinLocationName,ArticleSKU
HL-02-05-F-6A,DAI-11-125283-3
HL-02-05-F-6B,DRY-00-138387-3
HL-02-05-F-7A,ICB-89-D0E8DD-3
HL-02-05-F-7B,DAI-11-116265-3
HL-02-05-F-8B,DRY-00-001930-2
HL-02-06-B-1B,PTN-11-138011-1
HL-02-06-B-1C,DAI-11-143487-3
HL-02-06-B-2B,PTN-11-148094-3
HL-02-06-B-2C,PTN-11-10001-2
HL-02-06-B-3B,PTN-11-005866-3
HL-02-06-B-3C,PTN-11-50463-2
HL-02-06-B-4B,PTN-11-101344-2
HL-02-06-B-4C,PTN-00-130357-3
HL-02-06-F-1A,ICB-C7-3182FA-B
HL-02-06-F-1B,PTN-11-151151-3
HL-02-06-F-2A,DAI-00-10141-2
HL-02-06-F-2B,PRO-00-151766-5
HL-02-06-F-3A,PTN-11-101341-2
HL-02-06-F-3B,DAI-11-10039-2
HL-02-06-F-4A,CON-00-136134-3
HL-02-06-F-5A,PCK-00-115352-1
HL-02-06-F-5B,BAK-00-102699-3
HL-02-06-F-6A,DAI-11-125283-3
HL-02-06-F-6B,DAI-00-50213-2
HL-02-06-F-7A,ICB-F4-72969D-B
HL-02-06-F-7B,PTN-11-138329-2
HL-02-06-F-8B,PTN-11-119517-2
HL-02-07-B-1B,BAK-11-102333-2
HL-02-07-B-1C,PTN-11-139600-1
HL-02-07-B-2B,PTN-11-148093-3
HL-02-07-B-2C,DAI-11-125530-2
HL-02-07-B-3B,PHF-11-13049-2
HL-02-07-B-3C,PHF-11-132934-3
HL-02-07-B-4B,PTN-11-90545-2
HL-02-07-B-4C,PRO-00-004325-2
HL-02-07-F-1A,DAI-11-116335-3
HL-02-07-F-1B,PTN-11-005882-2
HL-02-07-F-2A,PRO-00-90579-2
HL-02-07-F-2B,DAI-00-004414-2
HL-02-07-F-3A,PTN-11-101341-2
HL-02-07-F-3B,DRY-00-50073-2
HL-02-07-F-4A,CON-00-121748-3
HL-02-07-F-5A,PCK-00-115352-1
HL-02-07-F-5B,PTN-11-101343-2
HL-02-07-F-6A,ICB-F3-0163BC-5
HL-02-07-F-6B,DAI-00-50213-2
HL-02-07-F-7A,ICB-97-301E9B-A
HL-02-07-F-7B,PTN-11-101342-2
HL-02-07-F-8B,DAI-00-150292-3
HL-02-08-B-1B,CON-00-134949-3
HL-02-08-B-1C,PTN-11-148022-3
HL-02-08-B-2B,PTN-11-131793-2
HL-02-08-B-2C,DAI-00-115401-3
HL-02-08-B-3B,PTN-11-138331-2
HL-02-08-B-3C,PHF-11-132934-3
HL-02-08-B-4B,PTN-11-90545-2
HL-02-08-B-4C,PRO-00-004325-2
HL-02-08-F-1A,DAI-11-116335-3
HL-02-08-F-1B,PTN-11-101342-2
HL-02-08-F-2A,DAI-00-10141-2
HL-02-08-F-2B,PRO-00-151766-5
HL-02-08-F-3A,PTN-00-130349-3
HL-02-08-F-3B,PTN-11-101343-2
HL-02-08-F-5A,PCK-00-115352-1
HL-02-08-F-7A,CON-00-150977-2
HL-02-08-F-7B,DAI-11-116265-3
HL-02-08-F-8B,BAK-00-115722-3
HL-02-09-B-1B,CON-00-137193-3
HL-02-09-B-1C,PTN-11-129904-2
HL-02-09-B-2B,PTN-11-119516-2
HL-02-09-B-2C,DAI-11-125530-2
HL-02-09-B-3B,PHF-11-50408-2
HL-02-09-B-3C,PTN-11-90546-2
HL-02-09-B-4B,PRO-00-133294-3
HL-02-09-B-4C,PTN-11-131792-2
HL-02-09-F-1A,ICB-C7-3182FA-B
HL-02-09-F-1B,DAI-11-116266-3
HL-02-09-F-2A,PRO-00-90579-2
HL-02-09-F-2B,PRO-00-151766-5
HL-02-09-F-3A,PTN-11-101341-2
HL-02-09-F-3B,DAI-11-10039-2
HL-02-09-F-4A,CON-00-136132-3
HL-02-09-F-5A,PCK-00-115352-1
HL-02-09-F-5B,PTN-11-138334-2
HL-02-09-F-6A,DAI-00-10141-2
HL-02-09-F-6B,DRY-00-138387-3
HL-02-09-F-7A,ICB-8F-DE4D3D-0
HL-02-09-F-7B,PTN-11-138329-2
HL-02-09-F-8B,PTN-11-119517-2
HL-02-10-B-1B,CON-00-134945-3
HL-02-10-B-1C,PTN-11-148018-3
HL-02-10-B-2B,PTN-11-50464-2
HL-02-10-B-2C,DAI-11-125530-2
HL-02-10-B-3B,PHF-11-13049-2
HL-02-10-B-3C,CON-00-137343-3
HL-02-10-B-4B,DAI-11-125531-3
HL-02-10-B-4C,PTN-11-131792-2
HL-02-10-F-1A,DAI-11-116336-3
HL-02-10-F-1B,PTN-11-90560-2
HL-02-10-F-2A,PRO-00-90579-2
HL-02-10-F-2B,DAI-11-116264-3
HL-02-10-F-3A,PTN-11-101341-2
HL-02-10-F-3B,BAK-00-102699-3
HL-02-10-F-4A,ICB-4A-13D75D-8
