BinLocationName,ArticleSKU
FK17-9-A,DRY-00-141824-5
FK17-9-B,PRO-00-146805-5
FK17-10-A,SPI-00-11901-5
FK17-10-B,SPI-00-140277-5
FK18-1-A,PHF-11-10164-3
FK18-1-B,PCK-00-102737-5
FK18-2-A,DRY-00-143148-5
FK18-2-B,PCK-00-102736-5
FK18-3-A,PRO-00-90555-5
FK18-3-B,SPI-00-50298-5
FK18-4-A,PHF-11-10074-3
FK18-4-B,DRY-00-137468-5
FK18-5-A,PHF-11-10107-3
FK18-5-B,SPI-00-50271-5
FK18-6-A,PHF-11-00005-3
FK18-6-B,PRO-00-13029-5
FK18-7-A,DRY-00-10031-5
FK18-7-B,PRO-00-137169-5
FK18-8-A,PRO-00-137168-5
FK18-8-B,SPI-00-50299-5
FK18-9-A,PHF-11-132590-3
FK18-9-B,DRY-00-137467-5
FK18-10-A,PHF-11-10276-3
FK18-10-B,PRO-00-90541-5
FK18-11-A,PRO-00-123233-5
FK18-11-B,PRO-00-123230-5
FK18-12-A,DRY-00-10012-5
FK18-12-B,PRO-00-132188-5
FK18-13-A,PRO-00-90576-5
FK18-13-B,PHF-11-10695-3
FK18-14-A,DRY-00-10277-5
FK18-14-B,PRO-00-139638-5
FK18-15-A,PRO-00-123232-5
FK18-15-B,PHF-11-10704-3
FK18-16-A,DRY-00-141706-5
FK18-16-B,PHF-11-102520-3
FK18-17-A,DRY-00-10474-5
FK18-17-B,DRY-00-141335-5
FK19-1-A,PHF-11-10126-3
FK19-1-B,PRO-00-123229-5
FK19-2-A,PHF-11-10276-3
FK19-2-B,SPI-00-90520-5
FK19-3-A,PHF-11-10124-3
FK19-3-B,SPI-00-90512-5
FK19-4-A,PHF-11-10107-3
FK19-4-B,PRO-00-10064-5
FK19-5-A,PHF-11-10433-3
FK19-5-B,SPI-00-90513-5
FK19-6-A,SPI-00-90514-5
FK19-6-B,SPI-00-90521-5
FK19-7-A,PHF-11-10306-3
FK19-7-B,PHF-11-10539-3
FK19-8-A,PHF-11-10538-3
FK19-8-B,PHF-11-10800-3
FK20-1-A,PCK-00-102737-5
FK20-1-B,PCK-00-102736-5
FK20-2-A,DAI-00-136109-5
FK20-2-B,PHF-11-10164-3
FK20-3-A,PHF-11-10074-3
FK20-3-B,SPI-00-125403-5
FK20-4-A,DRY-00-001702-5
FK20-4-B,DRY-00-140908-5
FK20-5-A,SPI-00-101536-5
FK20-5-B,PRO-00-10755-3
FK20-6-A,PRO-00-10716-5
FK20-6-B,SPI-00-002728-5
FK20-7-A,PHF-11-10359-3
FK20-7-B,PRO-00-122655-5
FK20-8-A,PHF-11-150274-5
FK20-8-B,DRY-00-142139-5
FK20-9-A,DRY-00-001704-5
FK20-9-B,PRO-00-122654-5
FK20-10-A,DRY-00-140379-5
FK20-10-B,SPI-00-125402-5
FK20-11-A,DRY-00-001705-5
FK20-11-B,PRO-00-122656-5
FK20-12-A,PRO-00-90460-5
FK20-12-B,PHF-11-10791-3
FK20-13-A,PHF-11-10299-3
FK20-13-B,SPI-00-12074-5
FK20-14-A,PRO-00-90459-5
FK20-14-B,PHF-11-10792-3
FK21-1-A,PHF-11-10304-3
FK21-1-B,PHF-11-10164-3
FK21-2-A,PRO-00-10736-5
FK21-2-B,PRO-00-10147-5
FK21-3-A,PHF-11-10303-3
FK21-3-B,BAK-00-147471-5
FK21-4-A,PRO-00-10757-5
FK21-4-B,SPI-00-90507-5
FK21-5-A,PHF-11-132611-5
FK21-5-B,SPI-00-11650-5
FK21-6-A,PRO-00-002386-5
FK21-6-B,SPI-00-11574-5
FK21-7-A,PHF-11-10074-3
FK21-7-B,DRY-00-141706-5
FK21-8-A,PRO-00-10735-5
FK21-8-B,SPI-00-90506-5
FK21-9-A,PHF-11-150274-5
FK21-9-B,DRY-00-141335-5
FK21-10-A,SPI-00-90494-5
FK21-10-B,BAK-00-147473-5
FK21-11-A,PHF-11-10405-3
FK21-11-B,SPI-00-12021-5
FK21-12-A,BAK-00-147472-5
FK21-12-B,PHF-11-10836-3
FK21-13-A,PHF-11-00004-3
FK21-13-B,PHF-11-10042-3
FK21-14-A,PHF-11-00005-3
FK21-14-B,PHF-11-102520-3
FK22-1-A,PRO-00-10757-5
FK22-1-B,PHF-11-10164-3
FK22-2-A,DRY-00-10012-5
FK22-2-B,SPI-00-50341-5
FK22-3-A,PHF-11-132610-5
FK22-3-B,SPI-00-90492-5
FK22-4-A,DRY-00-10474-5
FK22-4-B,PHF-11-10101-3
FK22-5-A,PHF-11-10074-3
FK22-5-B,SPI-00-50343-5
FK22-6-A,PHF-11-10107-3
FK22-6-B,SPI-00-125403-5
FK22-7-A,SPI-00-90517-5
FK22-7-B,SPI-00-50342-5
FK22-8-A,DRY-00-10277-5
FK22-8-B,SPI-00-125402-5
FK22-9-A,SPI-00-140277-5
FK22-9-B,SPI-00-90493-5
FK22-10-A,DRY-00-140379-5
FK22-10-B,SPI-00-90516-5
FK22-11-A,PRO-00-139638-5
FK22-11-B,PRO-00-144194-5
FK22-12-A,PRO-00-003356-5
FK22-12-B,PRO-00-10080-5
FK22-13-A,SPI-00-140276-5
FK22-13-B,PRO-00-144193-5
FK22-14-A,PHF-11-10433-3
FK22-14-B,PRO-00-115591-5
FK23-1-A,PCK-00-102737-5
FK23-1-B,PCK-00-102736-5
FK23-2-A,PHF-11-10187-3
FK23-2-B,PRO-00-90451-5
FK23-3-A,PRO-00-90544-5
FK23-3-B,SPI-00-11573-5
FK23-4-A,PHF-11-132610-5
FK23-4-B,PRO-00-100868-5
FK23-5-A,PHF-11-10107-3
FK23-5-B,SPI-00-12021-5
FK23-6-A,PHF-11-132611-5
FK23-6-B,SPI-00-90499-5
FK23-7-A,SPI-00-11574-5
FK23-7-B,PRO-00-90452-5
FK23-8-A,PRO-00-123232-5
FK23-8-B,SPI-00-90489-5
FK23-9-A,PRO-00-123235-5
